class,confidence,lat,lon,mission_type,risk_level,source
smoke,0.5,53.27069,24.43997,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,51.89508,29.34007,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.10069,26.64401,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.08939,26.64486,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.07856,26.60571,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,53.52403,9.90337,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,53.13238,8.67678,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.48835,13.83933,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,51.13782,23.55214,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.17175,14.6162,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.49445,4.60837,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.35604,9.88741,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.31872,10.25064,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,46.55827,39.7808,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,46.55218,39.77638,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.3149,10.25273,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.44176,25.08033,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.44066,25.08605,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.16169,10.41256,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.16123,10.42095,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.15738,10.40352,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,52.1526,10.40284,SURVEY,MEDIUM,firms_viirs_noaa20
fire,0.5,51.69056,15.97538,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,46.64398,38.93898,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.9286,21.67785,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.9466,21.45159,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,51.10661,18.93844,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.80733,20.53337,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,51.76813,8.05366,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,47.88225,33.39783,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,47.87659,33.41799,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,46.25142,38.53437,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,46.24308,38.53728,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.78148,19.16501,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,46.23721,38.53305,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.77813,19.16389,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,51.59608,8.33158,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.49105,19.465,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.53675,17.97661,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.5333,17.97555,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.34266,19.3374,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,51.36594,6.71091,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.33551,19.28828,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,51.29707,7.01052,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.34346,18.86784,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.41422,18.14138,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,49.56724,23.57532,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,49.56776,23.45391,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,51.17885,3.80584,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,51.17256,3.80588,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,49.44818,22.91438,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,51.04694,2.29364,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,51.03348,2.28476,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,51.02655,2.26646,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,48.97598,24.71045,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,49.68613,18.65884,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,49.67867,18.66228,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.62925,2.46029,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,46.63917,32.81629,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,47.08267,30.93531,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,47.08321,30.93497,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,50.42429,4.53816,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,46.56822,32.55992,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,46.55766,32.55836,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,46.50317,31.82903,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,48.41968,22.93732,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,49.96434,8.68367,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,48.60756,21.18117,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,48.59782,21.1776,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,49.50467,5.95759,SURVEY,MEDIUM,firms_viirs_noaa20
